ProductId,AverageLeadTimeDay,StandardDeviationOfLeadTimeDay,StandardDeviationOfDemandKg,AbcClass,NormalizedClass,NewServiceLevelPercent,NewServiceLevelZScore,NewCoveragePeriodDay,NewSafetyStockKg,NewAverageInventoryKg
SKU01,4.551,1.373,2179.098,A,M,98.000,2.330,7.000,534474.281,541745.096
SKU02,4.545,1.257,3273.492,A,L,98.000,2.330,7.000,897252.168,913746.257
SKU03,4.218,1.201,1210.589,B,M,90.000,1.640,15.000,236479.885,241785.155
SKU04,4.474,0.910,152.306,C,H,80.000,1.280,20.000,25950.129,26367.564
SKU05,4.422,1.324,70.860,B,L,98.000,2.330,15.000,17996.773,18604.614
SKU06,4.559,1.168,225.255,B,M,90.000,1.640,15.000,46219.766,47376.026
SKU07,4.401,1.309,48.737,B,L,98.000,2.330,15.000,12974.650,13456.469
SKU08,4.348,1.206,78.140,B,L,98.000,2.330,15.000,21531.783,22448.717
SKU09,4.000,1.176,90.338,A,L,98.000,2.330,7.000,21658.689,22037.531
SKU10,4.361,1.082,128.906,B,M,90.000,1.640,15.000,26458.024,27276.777
SKU11,4.368,1.134,74.872,C,H,80.000,1.280,20.000,12698.566,12933.116
SKU12,4.783,0.883,71.992,C,H,80.000,1.280,20.000,12651.961,12821.422
SKU13,4.676,1.015,14.666,B,L,98.000,2.330,15.000,3764.945,3925.188
SKU14,4.392,1.232,34.164,C,L,85.000,1.440,20.000,7888.403,8367.788
SKU15,4.336,1.309,27.997,C,L,85.000,1.440,20.000,6116.811,6439.203
SKU16,4.403,1.101,207.494,B,M,90.000,1.640,15.000,41231.492,42202.425
SKU17,4.207,1.270,24.518,C,L,85.000,1.440,20.000,5508.083,5829.934
SKU19,4.750,1.061,11.119,C,H,80.000,1.280,20.000,1976.791,2022.281
SKU20,4.559,1.062,11.020,C,M,80.000,1.280,20.000,1953.759,2015.328
