ProductId,TotalOrderQuantityKg,TotalShippedQuantityKg,DailyDemandQuantityKg,DailyDemandValue,SalesValue,CumulatedShareInSalesValuePercent,AbcClass,AverageInventoryKg,DioDay,ServiceLevelPercent
SKU01,317838.500,242045.590,2077.376,25089506.430,2923305612.000,61.955%,A,5722.454,2.755,76.154
SKU02,721027.302,696503.204,4712.597,60945293.030,9007473832.000,46.774%,A,53357.569,11.322,96.599
SKU03,108227.500,54700.031,707.369,8574801.162,663079245.800,80.255%,B,3461.170,4.893,50.542
SKU04,6386.752,4414.409,41.743,1006381.563,106425723.900,98.957%,C,331.773,7.948,69.118
SKU05,12399.960,11883.008,81.045,2207124.977,323611877.200,93.879%,B,230.722,2.847,95.831
SKU06,23587.700,22600.654,154.168,4019768.042,589288327.600,83.315%,B,924.407,5.996,95.815
SKU07,9829.120,9534.700,64.243,3108252.518,461317712.400,85.710%,B,229.874,3.578,97.005
SKU08,18705.440,18599.358,122.258,2604991.513,396303374.200,92.199%,B,542.448,4.437,99.433
SKU09,16560.810,16555.765,108.241,18705270.790,2861034561.000,76.811%,A,827.404,7.644,99.970
SKU10,16702.560,16562.634,109.167,2831642.161,429611753.800,87.941%,B,674.569,6.179,99.162
SKU11,3588.618,2677.825,23.455,553019.939,63137459.910,99.285%,C,276.615,11.793,74.620
SKU12,2592.744,1700.633,16.946,413011.475,41448097.400,99.827%,C,138.469,8.171,65.592
SKU13,3268.950,3265.350,21.366,2771508.578,423573854.600,90.141%,B,188.877,8.840,99.890
SKU14,7334.580,7320.395,47.938,1309330.658,199940147.500,96.535%,C,180.463,3.764,99.807
SKU15,4932.600,4599.747,32.239,1207044.295,172215662.300,98.404%,C,117.742,3.652,93.252
SKU16,19807.024,19625.060,129.458,2054723.870,311484653.900,95.497%,B,832.029,6.427,99.081
SKU17,4924.320,4815.012,32.185,1255075.523,187764020.000,97.510%,C,115.321,3.583,97.780
SKU19,696.000,590.005,4.549,485309.008,62944296.300,99.612%,C,45.147,9.924,84.771
SKU20,942.000,886.597,6.157,231564.445,33345609.780,100.000%,C,68.842,11.181,94.119
