ProductId,EstimatedSalesQuantityKg,EstimatedSalesValue,EstimatedPurchaseCost,EstimatedInboundTransportCost,EstimatedOutboundTransportCost,EstimatedStorageCost,EstimatedProfit,HistoricalProfit,ProfitDifference
SKU01,31148173.000,376192059407.500,608178.438,12365824681.000,15636382846.000,37299149859.600,331611843764.462,-2153727468.705,333765571233.167
SKU02,70660675.596,913813723690.974,1550998.295,24236611729.428,35471659149.192,62911429794.450,832014999797.340,-42121987112.677,874136986910.017
SKU03,9740475.000,118075011997.500,228738.085,3340982925.000,4587763725.000,16646907921.750,104597067302.165,-347144612.551,104944211914.716
SKU04,510940.160,12318110334.537,30072.291,175252474.880,1374429030.400,1815406781.400,9154703840.166,10712749.052,9143991091.114
SKU05,1215196.080,33093631905.464,29839.322,354837255.360,610028432.160,1280927673.900,29851531625.022,-460828492.681,30312360117.703
SKU06,2122893.000,55352205937.350,66794.080,619884756.000,1065692286.000,3261839390.100,50404722711.170,238469420.320,50166253290.850
SKU07,963253.760,46605138252.170,21419.450,281270097.920,483553387.520,926477890.650,42546149736.080,167700319.620,42378449416.460
SKU08,1833133.120,39059242752.674,38085.441,379458555.840,920232826.240,1545594165.450,35698721064.553,194430330.546,35504290734.007
SKU09,1622959.380,280466830199.796,37046.764,335952591.660,814725608.760,1517284009.350,273027815669.418,762683675.717,272265131993.701
SKU10,1503230.400,38991712552.036,42104.677,311168692.800,754621660.800,1878006096.450,36047873997.309,161551626.808,35886322370.501
SKU11,287089.440,6768964056.737,14917.746,59427514.080,772270593.600,890445036.600,5383196341.872,19971878.225,5363224463.647
SKU12,207419.520,5055260452.135,12404.482,60566499.840,557958508.800,882754904.700,3867836544.873,18161103.608,3849675441.265
SKU13,320357.100,41555999625.000,6830.545,93544273.200,160819264.200,270249193.800,40701075493.055,56045808.600,40645029684.455
SKU14,623439.300,17027845204.627,14973.498,182044275.600,312966528.600,576122203.800,15495799460.089,74674466.812,15421124993.277
SKU15,419271.000,15697611057.750,10699.978,143809953.000,210474042.000,443339126.550,14702937624.422,39709513.894,14663228110.528
SKU16,1782632.160,28293547692.735,60185.078,611442830.880,894881344.320,2905636961.250,24850072024.957,74083151.331,24775988873.626
SKU17,418567.200,16322257179.371,10291.035,143568549.600,210120734.400,401390955.900,15121176697.437,58886208.304,15062290489.133
SKU19,55680.000,5940182252.308,2638.796,22104960.000,35690880.000,139234046.850,5588445230.162,14022339.937,5574422890.225
SKU20,75360.000,2834348811.429,2809.856,29917920.000,46723200.000,138755332.800,2618949548.773,14337437.890,2604612110.883
